year,cancerType,stat,value
1999,Brain and Other Nervous System,deaths,12765
1999,Breast,deaths,41528
1999,Cervix Uteri,deaths,4204
1999,Colon and Rectum,deaths,57222
1999,Corpus Uteri,deaths,3121
1999,Esophagus,deaths,11917
1999,Gallbladder,deaths,2059
1999,Kidney and Renal Pelvis,deaths,11116
1999,Larynx,deaths,3815
1999,Leukemias,deaths,21071
1999,Liver,deaths,9830
1999,Lung and Bronchus,deaths,152061
1999,Melanoma of the Skin,deaths,7215
1999,Myeloma,deaths,10508
1999,Non-Hodgkin Lymphoma,deaths,22802
1999,Oral Cavity and Pharynx,deaths,7486
1999,Ovary,deaths,13627
1999,Pancreas,deaths,27594
1999,Prostate,deaths,31728
1999,Stomach,deaths,12711
1999,Thyroid,deaths,1241
1999,Urinary Bladder,deaths,11910
1999,Brain and Other Nervous System,cases,17359
1999,Breast,cases,185254
1999,Cervix Uteri,cases,12782
1999,Colon and Rectum,cases,140888
1999,Corpus Uteri,cases,31982
1999,Esophagus,cases,12532
1999,Gallbladder,cases,3066
1999,Kidney and Renal Pelvis,cases,30669
1999,Larynx,cases,11511
1999,Leukemias,cases,32265
1999,Liver,cases,10381
1999,Lung and Bronchus,cases,176551
1999,Melanoma of the Skin,cases,38290
1999,Myeloma,cases,13989
1999,Non-Hodgkin Lymphoma,cases,48483
1999,Oral Cavity and Pharynx,cases,27087
1999,Ovary,cases,19588
1999,Pancreas,cases,29081
1999,Prostate,cases,184722
1999,Stomach,cases,19092
1999,Thyroid,cases,17179
1999,Urinary Bladder,cases,55174
1999,Brain and Other Nervous System,mortalityRate,0.74
1999,Breast,mortalityRate,0.22
1999,Cervix Uteri,mortalityRate,0.33
1999,Colon and Rectum,mortalityRate,0.41
1999,Corpus Uteri,mortalityRate,0.098
1999,Esophagus,mortalityRate,0.95
1999,Gallbladder,mortalityRate,0.67
1999,Kidney and Renal Pelvis,mortalityRate,0.36
1999,Larynx,mortalityRate,0.33
1999,Leukemias,mortalityRate,0.65
1999,Liver,mortalityRate,0.95
1999,Lung and Bronchus,mortalityRate,0.86
1999,Melanoma of the Skin,mortalityRate,0.19
1999,Myeloma,mortalityRate,0.75
1999,Non-Hodgkin Lymphoma,mortalityRate,0.47
1999,Oral Cavity and Pharynx,mortalityRate,0.28
1999,Ovary,mortalityRate,0.7
1999,Pancreas,mortalityRate,0.95
1999,Prostate,mortalityRate,0.17
1999,Stomach,mortalityRate,0.67
1999,Thyroid,mortalityRate,0.072
1999,Urinary Bladder,mortalityRate,0.22
1999,Brain and Other Nervous System,deathsPerMillion, 46
1999,Breast,deathsPerMillion,149
1999,Cervix Uteri,deathsPerMillion, 15
1999,Colon and Rectum,deathsPerMillion,205
1999,Corpus Uteri,deathsPerMillion, 11
1999,Esophagus,deathsPerMillion, 43
1999,Gallbladder,deathsPerMillion,7.4
1999,Kidney and Renal Pelvis,deathsPerMillion, 40
1999,Larynx,deathsPerMillion, 14
1999,Leukemias,deathsPerMillion, 76
1999,Liver,deathsPerMillion, 35
1999,Lung and Bronchus,deathsPerMillion,545
1999,Melanoma of the Skin,deathsPerMillion, 26
1999,Myeloma,deathsPerMillion, 38
1999,Non-Hodgkin Lymphoma,deathsPerMillion, 82
1999,Oral Cavity and Pharynx,deathsPerMillion, 27
1999,Ovary,deathsPerMillion, 49
1999,Pancreas,deathsPerMillion, 99
1999,Prostate,deathsPerMillion,114
1999,Stomach,deathsPerMillion, 46
1999,Thyroid,deathsPerMillion,4.4
1999,Urinary Bladder,deathsPerMillion, 43
2000,Brain and Other Nervous System,deaths,12655
2000,Breast,deaths,42300
2000,Cervix Uteri,deaths,4200
2000,Colon and Rectum,deaths,57434
2000,Corpus Uteri,deaths,3139
2000,Esophagus,deaths,12232
2000,Gallbladder,deaths,1949
2000,Kidney and Renal Pelvis,deaths,11736
2000,Larynx,deaths,3861
2000,Leukemias,deaths,21397
2000,Liver,deaths,10192
2000,Lung and Bronchus,deaths,155426
2000,Melanoma of the Skin,deaths,7420
2000,Myeloma,deaths,10639
2000,Non-Hodgkin Lymphoma,deaths,22729
2000,Oral Cavity and Pharynx,deaths,7492
2000,Ovary,deaths,14060
2000,Pancreas,deaths,29072
2000,Prostate,deaths,31078
2000,Stomach,deaths,12645
2000,Thyroid,deaths,1328
2000,Urinary Bladder,deaths,12002
2000,Brain and Other Nervous System,cases,17979
2000,Breast,cases,189083
2000,Cervix Uteri,cases,13144
2000,Colon and Rectum,cases,145413
2000,Corpus Uteri,cases,32639
2000,Esophagus,cases,13051
2000,Gallbladder,cases,3013
2000,Kidney and Renal Pelvis,cases,33122
2000,Larynx,cases,11668
2000,Leukemias,cases,34754
2000,Liver,cases,11465
2000,Lung and Bronchus,cases,182369
2000,Melanoma of the Skin,cases,42250
2000,Myeloma,cases,14994
2000,Non-Hodgkin Lymphoma,cases,50004
2000,Oral Cavity and Pharynx,cases,28264
2000,Ovary,cases,20532
2000,Pancreas,cases,29331
2000,Prostate,cases,194123
2000,Stomach,cases,19410
2000,Thyroid,cases,19524
2000,Urinary Bladder,cases,57433
2000,Brain and Other Nervous System,mortalityRate,0.7
2000,Breast,mortalityRate,0.22
2000,Cervix Uteri,mortalityRate,0.32
2000,Colon and Rectum,mortalityRate,0.39
2000,Corpus Uteri,mortalityRate,0.096
2000,Esophagus,mortalityRate,0.94
2000,Gallbladder,mortalityRate,0.65
2000,Kidney and Renal Pelvis,mortalityRate,0.35
2000,Larynx,mortalityRate,0.33
2000,Leukemias,mortalityRate,0.62
2000,Liver,mortalityRate,0.89
2000,Lung and Bronchus,mortalityRate,0.85
2000,Melanoma of the Skin,mortalityRate,0.18
2000,Myeloma,mortalityRate,0.71
2000,Non-Hodgkin Lymphoma,mortalityRate,0.45
2000,Oral Cavity and Pharynx,mortalityRate,0.27
2000,Ovary,mortalityRate,0.68
2000,Pancreas,mortalityRate,0.99
2000,Prostate,mortalityRate,0.16
2000,Stomach,mortalityRate,0.65
2000,Thyroid,mortalityRate,0.068
2000,Urinary Bladder,mortalityRate,0.21
2000,Brain and Other Nervous System,deathsPerMillion, 45
2000,Breast,deathsPerMillion,150
2000,Cervix Uteri,deathsPerMillion, 15
2000,Colon and Rectum,deathsPerMillion,204
2000,Corpus Uteri,deathsPerMillion, 11
2000,Esophagus,deathsPerMillion, 43
2000,Gallbladder,deathsPerMillion,6.9
2000,Kidney and Renal Pelvis,deathsPerMillion, 42
2000,Larynx,deathsPerMillion, 14
2000,Leukemias,deathsPerMillion, 76
2000,Liver,deathsPerMillion, 36
2000,Lung and Bronchus,deathsPerMillion,551
2000,Melanoma of the Skin,deathsPerMillion, 26
2000,Myeloma,deathsPerMillion, 38
2000,Non-Hodgkin Lymphoma,deathsPerMillion, 81
2000,Oral Cavity and Pharynx,deathsPerMillion, 27
2000,Ovary,deathsPerMillion, 50
2000,Pancreas,deathsPerMillion,103
