"Extraversion","Agreeableness","Conscientiousness","Emotional_Stability","Openness","timestamp","who_are_you","num_name","date_time","hour"
2,1,3,1,1,"2/6/2026 14:06:46","Ethan",1,2026-02-12 17:47:13,12
2,1,4,1,1,"2/6/2026 14:06:46","Ethan",1,2026-02-12 17:47:13,10
5,5,5,3,4,"2/13/2026 19:58:39","Ethan",1,2026-02-13 19:58:39,17
7,4,7,5,7,"2/20/2026 21:50:08","Ethan",1,2026-02-21 12:40:29,17
2,5,1,4,2,"2/20/2026 21:49:58","Ethan",1,2026-02-21 12:40:29,21
2,5,4,5,2,"2/21/2026 12:40:29","Cailey",0,2026-02-20 21:49:48,12
4,5,1,5,6,"2/13/2026 19:58:39","Ethan",1,2026-02-12 18:03:41,19
2,1,1,1,5,"2/20/2026 21:49:58","Ethan",1,2026-02-20 21:49:48,21
4,5,5,5,2,"2/12/2026 17:47:13","Cailey",0,2026-02-13 19:58:39,21
4,5,5,7,2,"2/5/2026 22:00:48","Cailey",0,2026-02-12 18:03:41,21
3,4,1,7,2,"2/12/2026 17:47:13","Cailey",0,2026-02-13 19:58:39,21
7,4,6,7,5,"2/5/2026 19:34:35","Ethan",1,2026-02-12 17:47:13,21
1,5,5,5,3,"2/20/2026 21:49:48","Ethan",1,2026-02-20 21:50:08,18
7,7,5,5,1,"2/20/2026 21:50:27","Ethan",1,2026-02-20 21:50:08,19
2,1,3,2,5,"2/6/2026 10:48:57","Ethan",1,2026-02-12 18:03:41,14
1,1,5,1,6,"2/20/2026 21:49:48","Ethan",1,2026-02-21 12:40:29,19
7,4,7,7,7,"2/20/2026 21:50:17","Ethan",1,2026-02-20 21:50:17,19
4,5,5,5,5,"2/12/2026 18:03:41","Ethan",1,2026-02-06 14:06:46,21
7,7,7,5,5,"2/5/2026 19:34:35","Ethan",1,2026-02-13 19:58:39,21
4,7,5,5,1,"2/5/2026 22:00:48","Cailey",0,2026-02-05 19:30:05,18
3,5,5,3,5,"2/5/2026 22:00:48","Cailey",0,2026-02-12 17:47:13,21
7,5,7,5,7,"2/12/2026 17:47:13","Cailey",0,2026-02-06 10:49:15,21
4,5,5,5,4,"2/6/2026 10:49:15","Cailey",0,2026-02-12 17:47:13,10
7,5,5,5,1,"2/20/2026 21:50:27","Ethan",1,2026-02-20 21:49:48,19
1,1,4,1,6,"2/21/2026 12:40:29","Cailey",0,2026-02-21 12:39:51,10
3,5,1,5,5,"2/20/2026 21:50:08","Ethan",1,2026-02-21 12:40:29,22
7,7,7,5,7,"2/13/2026 19:58:39","Ethan",1,2026-02-06 10:48:57,21
5,7,6,5,7,"2/20/2026 21:50:08","Ethan",1,2026-02-21 12:39:51,19
3,5,6,7,7,"2/5/2026 22:42:48","Ethan",1,2026-02-05 19:34:35,19
7,5,7,7,5,"2/12/2026 18:03:41","Ethan",1,2026-02-05 19:30:05,22
4,5,1,3,5,"2/5/2026 22:42:48","Ethan",1,2026-02-06 14:06:46,17
7,4,7,7,6,"2/12/2026 17:47:13","Cailey",0,2026-02-05 22:42:48,17
2,4,3,6,1,"2/21/2026 12:40:29","Cailey",0,2026-02-21 12:40:09,12
7,5,7,5,7,"2/5/2026 19:30:05","Cailey",0,2026-02-13 19:58:39,21
4,4,5,7,1,"2/6/2026 10:49:15","Cailey",0,2026-02-06 10:49:15,14
2,1,5,2,5,"2/21/2026 12:39:51","Cailey",0,2026-02-20 21:50:27,12
4,7,1,4,4,"2/6/2026 10:49:15","Cailey",0,2026-02-05 19:34:35,10
7,5,7,7,5,"2/5/2026 19:30:05","Cailey",0,2026-02-12 18:03:41,17
6,5,4,5,3,"2/6/2026 10:49:15","Cailey",0,2026-02-06 10:48:57,14
3,5,4,7,4,"2/13/2026 19:58:39","Ethan",1,2026-02-06 10:49:15,19
7,5,6,5,7,"2/5/2026 19:30:05","Cailey",0,2026-02-05 22:42:48,21
1,5,5,5,6,"2/20/2026 21:49:48","Ethan",1,2026-02-20 21:49:48,21
1,1,3,2,5,"2/21/2026 12:39:51","Cailey",0,2026-02-20 21:49:48,12
2,3,1,2,6,"2/20/2026 21:49:58","Ethan",1,2026-02-21 12:40:09,19
2,1,1,1,2,"2/20/2026 21:49:48","Ethan",1,2026-02-20 21:50:27,19
7,5,7,5,7,"2/12/2026 17:47:13","Cailey",0,2026-02-05 19:34:35,19
3,7,5,5,3,"2/6/2026 10:49:15","Cailey",0,2026-02-13 19:58:39,12
5,7,6,5,7,"2/5/2026 22:42:48","Ethan",1,2026-02-05 22:42:48,21
4,7,4,5,3,"2/5/2026 19:34:35","Ethan",1,2026-02-13 19:58:39,19
4,5,5,3,3,"2/12/2026 18:03:41","Ethan",1,2026-02-12 17:47:13,21
7,5,7,5,7,"2/20/2026 21:50:08","Ethan",1,2026-02-20 21:50:08,21
6,7,4,5,5,"2/20/2026 21:50:27","Ethan",1,2026-02-21 12:39:51,19
3,7,1,5,4,"2/6/2026 10:49:15","Cailey",0,2026-02-05 22:00:48,10
7,4,7,5,7,"2/5/2026 19:34:35","Ethan",1,2026-02-06 10:49:15,22
